#,Company / Institution,Segment,City,HQ address,Website,Email,Phone,Leadership,Partnership / referral angle,Notes & source
11,Sri Guru Raghavendra Sahakara Bank Niyamitha,Urban Co-op Bank,Bengaluru,"#15, Subbarama Chetty Road, Nettakallappa Circle, Basavanagudi, Bengaluru 560004",https://raghavendrabank.com,info@raghavendrabank.com,080-26506895,Board/CEO - verify,LOW PRIORITY - under RBI All-Inclusive Directions since Jan-2020 (extended to 10-Nov-2026),FLAG: RBI AID. Verified raghavendrabank.com
12,Zerodha Broking Ltd,Stock Broker (Discount - India's largest),Bengaluru,"#153/154, 4th Cross, J.P. Nagar 4th Phase, Bengaluru 560078",https://zerodha.com,partner@zerodha.com (partnerships); support@zerodha.com,080 4718 1888,Nithin Kamath (Founder & CEO); Nikhil Kamath (Co-founder),Authorised Person program + referral (reward points + 10% brokerage share),SEBI INZ000031633. Verified zerodha.com
13,Groww Invest Tech Pvt Ltd,Stock Broker + MF platform (largest by users),Bengaluru,"Vaishnavi Tech Park, South Tower, 3rd Floor, Sarjapur Main Road, Bellandur, Bengaluru 560103",https://groww.in,support@groww.in,+91 91088 00000,Lalit Keshre (Co-founder & CEO),In-app Refer & Earn only; no public AP/franchise program,Listed parent Billionbrains Garage Ventures (Nov 2025 IPO). Verified groww.in
14,FYERS Securities Pvt Ltd,Stock Broker (Discount),Bengaluru,"901-902, 9th Floor, A Wing, Brigade Magnum, Kodigehalli Gate, Hebbal, Bengaluru 560092",https://fyers.in,support@fyers.in,080 6000 1111,Tejas Khoday (Co-founder & CEO),Formal partner program: fyers.in/become-a-partner (AP-registered),SEBI INZ000008524. Verified fyers.in
15,Tradejini Financial Services Pvt Ltd,Stock Broker (Discount),Bengaluru,"'Suvas', No. 4, Shankarmutt Road, 3rd Cross, Shankarpuram, Bengaluru 560004",https://tradejini.com,help@tradejini.com,+91 80 4080 2660,Kishore Kumar Jayakumar (Founder & CEO),Authorised-partner program (tradejini.com/authorised-partner),SEBI INZ000160938. Verified tradejini.com
16,Firstock Broking Pvt Ltd,Stock Broker (Discount),Bengaluru,"No. 350, 1st Floor, 36th A Cross, 7th Main Road, 5th Block, Jayanagar, Bengaluru 560041",https://firstock.in,support@firstock.in,080 4670 2050,Vikram Ayanur Venkatesh (CEO),Partner program not published - approach direct,SEBI INZ000260334. Verified firstock.in
17,Alice Blue Financial Services Pvt Ltd,Stock Broker (Discount),Bengaluru (corp HQ),"153/2, 3rd Floor, M.R.B. Arcade, Bagalur Main Road, Yelahanka, Bengaluru 560063 (regd office: Erode TN)",https://aliceblueonline.com,askus@aliceblueindia.com,080 4536 6888,Sidhavelayutham M. (Founder & CEO),Partner-with-us program (AP/business partner - 4 plans),SEBI INZ000156038. FLAG: regd office Erode TN
18,Way2Wealth Brokers Pvt Ltd,Stock Broker (Full-service + PMS),Bengaluru,"Rukmini Towers, 3rd & 4th Floor, #3/1, Platform Road, Sheshadripuram, Bengaluru 560020",https://way2wealth.com,support@way2wealth.com,080 4718 5579,Not published (Shriram group-controlled since 2020 - NOT Coffee Day anymore),Sub-broker/franchise/remisier network (~700+ sub-brokers),SEBI INZ000178638; PMS INP000000829. Verified way2wealth.com
19,BgSE Financials Ltd,Stock Broker (Full-service),Bengaluru,"Stock Exchange Towers, No. 51, 1st Cross, J.C. Road, Bengaluru 560027",https://bfsl.co.in,enquiry@bfsl.co.in,080 6667 3333,K.M. Sivaraman (CEO - verify),'Become an Authorised Person / Franchise' program on site,Ex-Bangalore Stock Exchange arm. SEBI INZ000094638
20,Fisdom (Finwizard Technology Pvt Ltd),Wealth platform + broker (B2B2C via banks),Bengaluru,"Vaishnavi Tech Park, South Tower, 4th Floor, Ambalipura, Bellandur, Bengaluru 560103",https://fisdom.com,grievances@fisdom.com,+91 96425 96425,Subramanya SV (Co-founder & CEO - exiting post-Groww integration),Bank-partnership distribution model; now a Groww subsidiary (Oct 2025),FLAG: acquired by Groww. PMS INP000008950
21,smallcase (CASE Platforms Pvt Ltd),Investment platform (not a broker),Bengaluru,"#51, 3rd Floor, Le Parc Richmonde, Richmond Road, Richmond Town, Bengaluru 560025",https://smallcase.com,support@smallcase.com,+91 97316 18899,Vasanth Kamath (Founder & CEO),B2B: Publisher + Gateway platforms for advisers/brokers; RA arm Windmill Capital,Renamed from Smallcase Technologies. Verified smallcase.com
22,Wint Wealth (Wint Securities Pvt Ltd),Bond platform (SEBI OBPP broker),Bengaluru,"3rd Floor, 91 Springboard, #175, Bannerghatta Road, J.P. Nagar Phase 4, Bengaluru 560076",https://wintwealth.com,hello@wintwealth.com,+91 88612 12984,Aditya Anand (CEO); Anshul Gupta (Co-founder),Bond distribution tie-ups for HNI clients,SEBI INZ000313632. Verified wintwealth.com
23,GoldenPi Securities Pvt Ltd,Bond platform (first SEBI OBPP licence),Bengaluru,"Indiqube Orion, 24th Main, 1st Sector, HSR Layout, Bengaluru 560102",https://goldenpi.com,contact-us@goldenpi.com,080 4568 5666,Abhijit Roy (CEO),Bond/debenture distribution partnership,SEBI INZ000310732. Verified goldenpi.com
24,CreditAccess Grameen Ltd,NBFC-MFI (India's largest; listed),Bengaluru,"New No. 49, 46th Cross, 8th Block, Jayanagar, Bengaluru 560070",https://www.creditaccessgrameen.in,info@cagrameen.in,+91 80 2263 7300,Ganesh Narayanan (MD & CEO),Mass rural/semi-urban client base; no formal partner page,Listed. Verified creditaccessgrameen.in
25,Can Fin Homes Ltd,Housing Finance (Canara-sponsored; listed),Bengaluru,"No. 29/1, 1st Floor, Sir M N Krishna Rao Road, Basavanagudi, Bengaluru 560004",https://www.canfinhomes.com,customercare@canfinhomes.com,1800 203 4488,Suresh S. Iyer (MD & CEO),Home-loan client referral,Listed. Verified canfinhomes.com
26,IIFL Samasta Finance Ltd,NBFC-MFI (IIFL subsidiary),Bengaluru,"110/3, Lalbagh Road, Krishnappa Layout, Bengaluru 560027",https://iiflsamasta.com,customer.care@iiflsamasta.com,1800-120-8868,Venkatesh N (Founder & MD),Retail credit client referral via IIFL group,Verified iiflsamasta.com
27,Navi Finserv Ltd,Digital lender (NBFC-ICC),Bengaluru,"2nd Floor, Vaishnavi Tech Square, Iballur Village, Begur Hobli, Bengaluru 560102",https://navi.com,corporate_finserv@navi.com (verify - from LEI record),+91 89519 04682 (verify),Sachin Bansal (Chairman); Abhishek Dwivedi (CEO),STRONG: Navi Lending Cloud co-lending platform (16+ bank/NBFC partners),Site blocks bots - contacts from LEI/prospectus
28,Rupeek Fintech Pvt Ltd,Gold-loan digital platform,Bengaluru,"Plot 45/B, Subham Complex, 1st A Main, Sarakki Industrial Layout, J.P. Nagar, Bengaluru 560078",https://rupeek.com,grievance@rupeek.com,080-6895 1717,Sumit Maniyar (Founder & CEO),STRONG: Business Partner + Sourcing Partner programs; bank co-lending model,Verified rupeek.com
29,Vistaar Financial Services Pvt Ltd,SME NBFC (Warburg Pincus-backed),Bengaluru,"Plot 59 & 60-23, 22nd Cross, 29th Main, BTM Layout 2nd Stage, Bengaluru 560076",https://www.vistaarfinance.com,corporate@vistaarfinance.com,080-4666 0900,Avijit Saha (MD & CEO),SME client referral,Site blocked bots - verified via CARE Ratings PR
30,Kinara Capital Pvt Ltd,SME NBFC (collateral-free MSME),Bengaluru,"No. 660, 3rd Floor, 100 Feet Road, Indiranagar, Bengaluru 560038",https://kinaracapital.com,help@kinaracapital.com,1800-103-2683,Hardika Shah (Founder & CEO),MSME client referral,Formerly Visage Holdings. Verified kinaracapital.com
31,axio (CapFloat Financial Services Pvt Ltd),Digital lender (BNPL/checkout finance),Bengaluru,"Gokaldas Platinum, Upper Palace Orchards, Bellary Road, Sadashiva Nagar, Bengaluru 560080",https://www.axio.co.in,ask@axio.co.in,WhatsApp +91 99629 10000,Sashank Rishyasringa (Co-founder & MD),LOW PRIORITY - 100% Amazon subsidiary since Sep 2025; external scope narrowing,FLAG: Amazon-owned. Verified axio.co.in
32,KreditBee (KrazyBee Services Ltd),Digital consumer lender,Bengaluru,"3rd Floor, No. 128/9, Maruthi Sapphire, HAL Old Airport Road, Murugeshpalya, Bengaluru 560017",https://www.kreditbee.in,help@kreditbee.in,080-4429 2200,Madhusudan Ekambaram (Co-founder & CEO),Multi-partner lending marketplace,Verified kbnbfc.in + aggregators (app-only site)
33,Moneyview Ltd,Digital lender (personal loans; unicorn),Bengaluru,"17/1, The Address Building, Outer Ring Road, Kadubeesanahalli, Bengaluru 560103",https://moneyview.in,care@moneyview.in,080-6939 0476,Puneet Agarwal (Co-founder & CEO),STRONG: formal business-partner + digital-lead-partner programs on site,Verified moneyview.in partner pages
34,Varthana Finance Pvt Ltd,Education-focused NBFC,Bengaluru,"'Varasiddhi', 3rd Floor, No. 5BC-110, Service Road, 3rd Block, HRBR Layout, Bengaluru 560043",https://varthana.com,care@varthana.com,080-6845 5700,Steve Hardgrave (Co-founder & CEO),School/education client referral,RBI regn B-02.00279. Verified varthana.com
35,Avanti Finance Pvt Ltd,Digital-first impact NBFC,Bengaluru,"#2727, 2nd Floor, 1st Main Road, HAL 3rd Stage, New Thippasandra, Bengaluru 560075",https://www.avantifinance.in,info@avantifinance.in,080-4372 2581,Rahul Gupta (CEO),STRONGEST FIT: explicitly partner-led model - partner onboarding page (/partners),Ratan Tata/Nilekani-backed. Verified avantifinance.in
36,Zerodha Capital Pvt Ltd,NBFC (loans against securities),Bengaluru,"No. 680, 15th Cross, J.P. Nagar 2nd Phase, Bengaluru 560078",https://zerodhacapital.com,nbfc@zerodha.com,080-4716 6888,Promoters: Nithin & Nikhil Kamath,Group-internal distribution; approach via Zerodha partnership route,Verified zerodhacapital.com annual report
37,Vridhi Finserv Home Finance Ltd,Affordable-housing HFC,Bengaluru,"Corp: No. 38, 2nd Floor, Off CBI Road, Ganganagar, Bengaluru 560032",https://www.vridhihomefinance.com,customercare@vridhihomefinance.com (verify - site was down),not verified,Sandeep Arora (Co-founder & CEO),Partners page exists (/partners/),FLAG: site 503 during check - reconfirm contacts
38,BSS Sonata Microcredit Ltd,NBFC-MFI / BC (100% Kotak subsidiary),Bengaluru,"No. 11, 2nd Block, 2nd Stage, Outer Ring Road, Nagarabhavi, Bengaluru 560072",https://bsssonata.com,compliance@bssmfi.com (verify),not published,Ramesh Bellamkonda (MD),LOW PRIORITY - acts as Kotak's business correspondent,Ex-BSS Microfinance + Sonata. Kotak AR FY26
39,Scripbox (Scripbox Wealth Managers Pvt Ltd),Digital wealth platform (MFD + RIA),Bengaluru,"Wilshire III by MFAR, 5th Floor, 492, Mahadevapura, Bengaluru 560048",https://scripbox.com,help@scripbox.com,1800-102-1265,Atul Shinghal (Founder & CEO),HNI/mass-affluent digital wealth referral,ARN-341934; RIA INA200001041. Verified scripbox.com
40,Kuvera (Arevuk Advisory Services Pvt Ltd),Direct-MF platform (SEBI RIA),Bengaluru,"100 Feet Road, HAL 2nd Stage, Indiranagar, Bengaluru (verify PIN before mailing)",https://kuvera.in,support@kuvera.in,not published (in-app support),Gaurav Rastogi (Founder & CEO); owned by CRED since Feb 2024,Direct-plan platform partnerships,RIA INA200005166. FLAG: CRED-owned
41,Wealthy (WealthyIN Broking Pvt Ltd),B2B2C wealth platform for advisers,Bengaluru,"3rd Floor, Block B, No. 55/10, Sector 2, HSR Layout, Bengaluru 560102",https://wealthy.in,partner.support@wealthy.in,not published,Aditya Agarwal & Prashant Gupta (Co-founders),STRONG: built for adviser/partner onboarding (B2B2C model),ARN-106846; INZ000308532. Verified wealthy.in
42,Entrust Family Office Investment Advisors Pvt Ltd,Multi-family office (SEBI RIA),Bengaluru,"#24, 4th Floor, 1st Cross, Magrath Road, Bengaluru 560025",https://www.entrustfamilyoffice.com,reachus@entrust.co.in,+91 97397 44747,Rajmohan Krishnan (Principal Founder & MD); Sreepriya NS (Co-founder & CEO),UHNI/family-office cross-referral,RIA INA200004201. Verified entrustfamilyoffice.com
43,International Money Matters Pvt Ltd,SEBI RIA (financial planning),Bengaluru,"5th Floor (South Wing), Shubharam Complex, 144 M.G. Road, Bengaluru 560001",https://www.immpl.com,lovaii@immpl.com,not captured (site blocked bots),Lovaii Navlakhi (Founder & MD; ex-FPSB India chair),Planner-to-planner referral; CFP community anchor,RIA INA200010676; est. 2001
44,PhonePe Wealth Broking Pvt Ltd (Share.Market),Broking + MF distribution (PhonePe group),Bengaluru,"Block A, Salarpuria Softzone, Bellandur Village, Outer Ring Road, Bengaluru 560103",https://share.market,customerhelpdesk@share.market (verify - obfuscated on site),080-6872 7687,PhonePe Group (CEO Sameer Nigam),Mass-distribution platform partnerships,INZ000302639; ARN-187821. Verified share.market
45,Navi AMC Ltd (Navi Mutual Fund),AMC,Bengaluru,"Vaishnavi Tech Square, 7th Floor, Iballur Village, Begur Hobli, Bengaluru 560102",https://navi.com/mutual-fund,mf@navi.com,1800 203 2131,Sachin Bansal (Co-founder Navi Group),Passive/index fund distribution tie-up,SEBI MF/062/09/03. Verified Navi official PDFs
46,Clear (ClearTax / Defmacro Software Pvt Ltd),Tax platform (tax-adjacent partner),Bengaluru,"23 & 24 AMR Tech Park, Block 1, Hosur Main Road, Hongasandra, Bengaluru 560068",https://cleartax.in,enquiries@cleartax.in,not published,Archit Gupta (Founder & CEO),Tax-season cross-referral (ITR clients need investment advice),Not a SEBI intermediary. Verified clear.in
47,PeakAlpha Investment Services Pvt Ltd,Corporate MFD + SEBI RIA,Bengaluru,"Kalpvriksh, #13, Brunton Road Cross, Bengaluru 560025",https://peakalpha.com,sales@peakalpha.com,+91 80 4672 0700,Shyam Sunder & Priya Sunder (Co-founders),Established Bengaluru planning firm - peer referral,ARN-27988; RIA INA200007043. Verified peakalpha.com
48,Right Horizons,Wealth management + SEBI PMS,Bengaluru,"No. 6, Ground Floor, 2nd Main Road, Arakere, Bannerghatta Road, Bengaluru 560076",https://www.righthorizons.com,contactus@righthorizons.com,+91 80505 74007,Anil Rego (Founder & CEO),HNI PMS referral (~Rs 3000 cr AUA),PMS INP000004359. Verified righthorizons.com
49,Dilzer Consultants Pvt Ltd,SEBI RIA (fee-based planning),Bengaluru,"404 Embassy Centre, 11 Crescent Road, Bengaluru 560001",https://www.dilzer.net,business@dilzer.net,+91 80 4151 2337,Dilshad Billimoria (Founder & Director),Peer planner referral,RIA INA200002239. Verified dilzer.net
50,Fiduciaries (Avinash Luthria),Fee-only hourly-fee SEBI RIA,Bengaluru,"C 1203 The Gardens, No. 9 Magadi Road, Bengaluru 560023",https://fiduciaries.in,avinash@fiduciaries.in,+91 95389 50469,Avinash Luthria (Founder),Fee-only community peer referral,RIA INA200011125. Verified fiduciaries.in
51,Karnataka Bank Ltd,Private Sector Bank,Mangaluru,"Regd. & Head Office, Mahaveera Circle, Kankanady, Mangaluru 575002",https://karnatakabank.com,info@ktkbank.com,0824-2228222,"Raghavendra Srinivas Bhat (MD & CEO, w.e.f. Nov 2025)",3rd-party product distribution,Listed. Verified via official filings (site blocks bots)
52,The South Canara District Central Co-operative Bank Ltd (SCDCC),District Central Co-op Bank,Mangaluru,"Uthkrushta Sahakari Soudha, K.S. Rao Road, Kodialbail, Mangaluru 575003",https://scdccbank.com,info@scdccbank.com,0824-2440381,Dr. M. N. Rajendra Kumar (President),Coastal-Karnataka rural/retail referral,Verified scdcc.bank.in
53,The Mangalore Catholic Co-operative Bank Ltd (MCC Bank),Urban Co-op Bank,Mangaluru,"14-6-685/686, MCC Bank Building, St. Aloysius College Road, Hampankatta, Mangaluru 575001",https://www.mcc.bank.in,contact form (email cloaked - verify on first call),0824-2421369; toll-free 1800 123 2966,Board/CEO - verify,Community depositor referral,Verified mcc.bank.in
54,The Mangalore Co-operative Town Bank Ltd,Urban Co-op Bank,Mangaluru,"Car Street, Mangaluru 575001",https://www.mangaloretownbank.com,ho@mangaloretownbank.com,0824-2429330,Board/GM - verify,Local retail referral,Verified mangaloretownbank.com
